episode,success,steps,episode_reward,time_sec
1,0,100,-19.270000,0.285
2,0,100,-19.780000,0.289
3,0,100,-19.740000,0.292
4,0,100,-19.670000,0.274
5,0,100,-19.850000,0.258
6,0,100,-19.570000,0.276
7,0,100,-19.880000,0.280
8,0,100,-20.000000,0.242
9,0,100,-20.000000,0.243
10,0,100,-19.670000,0.289
11,0,100,-19.705000,0.295
12,0,100,-19.880000,0.295
13,0,100,-19.850000,0.282
14,0,100,-20.000000,0.249
15,0,100,-9.940000,0.277
16,0,100,-19.540000,0.278
17,0,100,-18.860000,0.289
18,0,100,-19.950000,0.289
19,0,100,-18.900000,0.267
20,0,100,-19.780000,0.312
21,0,100,-19.945000,0.261
22,0,100,-19.920000,0.283
23,0,100,-19.550000,0.274
24,0,100,-20.000000,0.257
25,0,100,-20.000000,0.420
26,0,100,-19.900000,0.411
27,0,100,-19.965000,0.252
28,0,100,-19.295000,0.309
29,0,100,-19.990000,0.275
30,0,100,-19.550000,0.260
31,0,100,-19.730000,0.267
32,0,100,-20.000000,0.267
33,0,100,-19.775000,0.313
34,0,100,-9.750000,0.314
35,0,100,-19.960000,0.313
36,0,100,-19.955000,0.274
37,0,100,-19.470000,0.312
38,0,100,-19.770000,0.291
39,0,100,-19.295000,0.278
40,0,100,-19.930000,0.275
41,0,100,-9.845000,0.286
42,0,100,-20.000000,0.323
43,0,100,-19.760000,0.281
44,0,100,-19.710000,0.264
45,0,100,-19.715000,0.315
46,0,100,-19.950000,0.261
47,0,100,-19.830000,0.263
48,0,100,-19.655000,0.277
49,0,100,-19.265000,0.296
50,0,100,-19.500000,0.273
51,0,100,-19.570000,0.291
52,0,100,-19.625000,0.276
53,0,100,-19.700000,0.313
54,0,100,-20.000000,0.256
55,0,100,-19.520000,0.269
56,0,100,-19.980000,0.290
57,0,100,-19.590000,0.298
58,0,100,-19.820000,0.273
59,0,100,-19.565000,0.300
60,0,100,-19.640000,0.299
61,0,100,-19.790000,0.279
62,0,100,-19.740000,0.302
63,0,100,-19.780000,0.305
64,0,100,-19.850000,0.283
65,0,100,-19.915000,0.274
66,0,100,-19.880000,0.304
67,0,100,-19.210000,0.312
68,0,100,-19.880000,0.270
69,0,100,-19.290000,0.294
70,0,100,-9.865000,0.283
71,0,100,-20.000000,0.286
72,0,100,-19.815000,0.329
73,0,100,-19.115000,0.278
74,0,100,-19.960000,0.256
75,0,100,-19.530000,0.314
76,0,100,-19.520000,0.318
77,0,100,-20.000000,0.249
78,0,100,-19.870000,0.267
79,0,100,-19.930000,0.273
80,0,100,-19.940000,0.304
81,0,100,-19.940000,0.323
82,0,100,-19.405000,0.267
83,0,100,-19.855000,0.282
84,0,100,-19.405000,0.309
85,0,100,-19.405000,0.287
86,0,100,-20.000000,0.259
87,0,100,-19.810000,0.280
88,0,100,-19.990000,0.259
89,0,100,-19.830000,0.294
90,0,100,-20.000000,0.253
91,0,100,-18.900000,0.292
92,0,100,-19.520000,0.284
93,0,100,-19.790000,0.319
94,0,100,-19.590000,0.298
95,0,100,-18.460000,0.289
96,0,100,-19.990000,0.255
97,0,100,-20.000000,0.294
98,0,100,-19.980000,0.256
99,0,100,-19.820000,0.305
100,0,100,-9.445000,0.276
