episode,success,steps,episode_reward,time_sec
1,1,7,7.980000,0.035
2,1,3,9.166667,0.015
3,1,15,10.530000,0.066
4,1,7,7.990000,0.030
5,1,8,12.730000,0.037
6,1,5,8.530000,0.023
7,1,20,9.430000,0.085
8,1,4,8.853333,0.021
9,1,13,11.240000,0.056
10,1,14,5.916667,0.067
11,1,8,7.660000,0.040
12,1,9,12.366667,0.041
13,1,14,10.960000,0.062
14,1,15,10.660000,0.066
15,1,3,9.123333,0.015
16,1,16,10.300000,0.069
17,1,4,8.866667,0.019
18,1,11,6.730000,0.047
19,1,16,5.286667,0.078
20,1,27,6.950000,0.117
21,1,10,7.063333,0.048
22,1,18,9.930000,0.075
23,1,9,7.383333,0.038
24,1,15,5.546667,0.068
25,1,12,6.446667,0.049
26,1,14,10.920000,0.068
27,1,17,10.270000,0.070
28,1,17,4.980000,0.081
29,1,8,7.630000,0.035
30,1,11,6.810000,0.044
31,1,38,3.670000,0.162
32,1,2,9.436667,0.010
33,1,18,9.740000,0.074
34,1,7,7.966667,0.031
35,1,6,8.236667,0.026
36,1,20,9.350000,0.082
37,1,26,7.540000,0.110
38,1,21,8.730000,0.093
39,1,2,9.420000,0.013
40,1,14,5.910000,0.066
41,1,7,12.970000,0.035
42,1,26,2.243333,0.104
43,1,16,5.263333,0.064
44,1,4,8.820000,0.021
45,1,3,9.146667,0.014
46,1,5,8.530000,0.024
47,1,16,10.230000,0.066
48,1,11,6.756667,0.052
49,1,12,6.426667,0.053
50,1,2,14.453333,0.012
51,1,9,7.350000,0.039
52,1,7,12.963333,0.037
53,1,18,9.630000,0.074
54,1,8,7.646667,0.034
55,1,18,9.630000,0.074
56,1,14,5.953333,0.058
57,1,10,7.023333,0.044
58,1,9,7.350000,0.040
59,1,5,8.520000,0.024
60,1,3,9.120000,0.015
61,1,14,10.930000,0.062
62,1,5,8.566667,0.023
63,1,11,11.760000,0.049
64,1,4,8.860000,0.022
65,1,18,4.670000,0.092
66,1,3,9.123333,0.014
67,1,17,10.030000,0.073
68,1,3,9.160000,0.018
69,1,10,7.033333,0.047
70,1,17,10.000000,0.078
71,1,4,8.870000,0.019
72,1,15,10.650000,0.070
73,1,3,9.120000,0.016
74,1,10,7.076667,0.052
75,1,16,5.266667,0.072
76,1,12,6.456667,0.060
77,1,13,11.250000,0.055
78,1,4,8.866667,0.019
79,1,21,8.770000,0.085
80,1,3,14.130000,0.017
81,1,10,7.080000,0.051
82,1,2,9.420000,0.012
83,1,2,9.420000,0.011
84,1,19,9.370000,0.086
85,1,16,10.350000,0.069
86,1,18,9.706667,0.075
87,1,10,12.040000,0.042
88,1,5,8.560000,0.022
89,1,4,8.833333,0.021
90,1,5,8.536667,0.023
91,1,5,8.553333,0.026
92,1,11,11.880000,0.050
93,1,9,7.353333,0.040
94,1,14,10.930000,0.065
95,1,5,8.530000,0.023
96,1,6,8.270000,0.027
97,1,4,8.836667,0.020
98,1,6,13.250000,0.033
99,1,7,7.996667,0.037
100,1,17,4.930000,0.068
