episode,success,steps,episode_reward,time_sec
1,1,14,7.315000,0.042
2,1,18,6.445000,0.053
3,1,22,5.635000,0.062
4,1,9,8.250000,0.028
5,1,25,5.035000,0.071
6,1,12,7.640000,0.036
7,1,9,8.250000,0.028
8,1,27,4.635000,0.076
9,1,11,7.820000,0.032
10,1,18,6.435000,0.050
11,1,12,7.705000,0.035
12,1,16,6.835000,0.045
13,1,17,6.685000,0.049
14,1,11,7.830000,0.032
15,1,23,5.420000,0.063
16,1,12,7.620000,0.034
17,1,2,9.635000,0.008
18,1,9,8.240000,0.030
19,1,6,8.880000,0.019
20,1,8,8.500000,0.025
21,1,9,8.255000,0.028
22,1,20,6.040000,0.057
23,1,25,5.050000,0.069
24,1,14,7.370000,0.039
25,1,8,8.475000,0.025
26,1,27,4.635000,0.076
27,1,7,8.750000,0.022
28,1,3,9.425000,0.011
29,1,32,3.620000,0.090
30,1,19,6.335000,0.056
31,1,9,8.285000,0.030
32,1,22,5.620000,0.063
33,1,24,5.235000,0.067
34,1,12,7.785000,0.039
35,1,20,6.035000,0.056
36,1,8,8.420000,0.024
37,1,5,9.045000,0.017
38,1,24,5.235000,0.066
39,1,4,9.220000,0.013
40,1,8,8.440000,0.026
41,1,7,8.690000,0.022
42,1,9,8.290000,0.027
43,1,4,9.220000,0.013
44,1,12,7.630000,0.037
45,1,3,9.450000,0.011
46,1,21,5.820000,0.059
47,1,18,6.450000,0.051
48,1,10,8.115000,0.031
49,1,6,8.830000,0.021
50,1,11,7.925000,0.032
51,1,19,6.565000,0.063
52,1,23,5.450000,0.064
53,1,5,9.035000,0.017
54,1,3,9.430000,0.011
55,1,12,7.700000,0.038
56,1,27,4.635000,0.075
57,1,37,2.650000,0.103
58,1,14,7.315000,0.042
59,1,13,7.475000,0.041
60,1,17,6.620000,0.049
61,1,5,9.045000,0.017
62,1,6,8.835000,0.020
63,1,4,9.230000,0.013
64,1,13,7.435000,0.040
65,1,12,7.695000,0.035
66,1,18,6.435000,0.051
67,1,30,4.070000,0.088
68,1,5,9.055000,0.017
69,1,7,8.685000,0.022
70,1,26,4.835000,0.072
71,1,24,5.295000,0.069
72,1,14,7.250000,0.040
73,1,10,8.050000,0.031
74,1,42,1.700000,0.115
75,1,10,8.050000,0.032
76,1,19,6.245000,0.056
77,1,12,7.660000,0.036
78,1,28,4.435000,0.079
79,1,2,9.610000,0.008
80,1,15,7.165000,0.043
81,1,4,9.230000,0.014
82,1,40,2.070000,0.110
83,1,10,8.050000,0.031
84,1,7,8.675000,0.024
85,1,27,4.650000,0.073
86,1,22,5.635000,0.061
87,1,21,5.835000,0.057
88,1,5,9.035000,0.017
89,1,4,9.255000,0.014
90,1,16,7.030000,0.044
91,1,4,9.230000,0.014
92,1,37,2.790000,0.113
93,1,8,8.420000,0.023
94,1,12,7.630000,0.038
95,1,10,8.035000,0.030
96,1,12,7.640000,0.035
97,1,20,6.020000,0.058
98,1,27,4.635000,0.076
99,1,14,7.260000,0.043
100,1,14,7.260000,0.044
