episode,success,steps,episode_reward,time_sec
1,0,100,-19.275000,0.272
2,0,100,-20.000000,0.288
3,0,100,-20.000000,0.266
4,0,100,-19.910000,0.280
5,0,100,-19.765000,0.268
6,0,100,-19.700000,0.266
7,0,100,-19.920000,0.276
8,0,100,-20.000000,0.250
9,0,100,-19.705000,0.270
10,0,100,-20.000000,0.285
11,1,68,-2.575000,0.214
12,0,100,-19.900000,0.284
13,0,100,-19.100000,0.324
14,0,100,-20.000000,0.273
15,0,100,-20.000000,0.255
16,0,100,-19.185000,0.270
17,0,100,-18.320000,0.266
18,0,100,-19.670000,0.270
19,0,100,-20.000000,0.247
20,0,100,-19.920000,0.270
21,0,100,-19.595000,0.314
22,0,100,-20.000000,0.254
23,1,77,-5.060000,0.247
24,0,100,-19.840000,0.262
25,0,100,-19.540000,0.257
26,0,100,-19.980000,0.276
27,0,100,-19.620000,0.255
28,0,100,-19.590000,0.271
29,0,100,-20.000000,0.245
30,0,100,-20.000000,0.249
31,0,100,-19.645000,0.259
32,0,100,-19.890000,0.611
33,0,100,-20.000000,0.328
34,0,100,-20.000000,0.281
35,0,100,-19.980000,0.263
36,0,100,-19.715000,0.313
37,1,59,-0.700000,0.187
38,0,100,-20.000000,0.263
39,0,100,-19.570000,0.273
40,0,100,-19.690000,0.263
41,0,100,-20.000000,0.279
42,0,100,-19.465000,0.274
43,0,100,-19.850000,0.292
44,0,100,-19.690000,0.263
45,1,68,-2.705000,0.220
46,0,100,-20.000000,0.245
47,0,100,-20.000000,0.245
48,0,100,-19.895000,0.258
49,0,100,-19.320000,0.279
50,0,100,-20.000000,0.249
51,0,100,-19.260000,0.316
52,0,100,-19.985000,0.278
53,1,19,6.375000,0.061
54,0,100,-20.000000,0.263
55,0,100,-20.000000,0.286
56,0,100,-19.280000,0.285
57,0,100,-18.980000,0.314
58,0,100,-19.880000,0.274
59,0,100,-19.255000,0.283
60,0,100,-19.620000,0.266
61,0,100,-19.900000,0.261
62,0,100,-20.000000,0.283
63,0,100,-20.000000,0.274
64,1,77,-4.870000,0.250
65,0,100,-19.055000,0.312
66,0,100,-19.520000,0.270
67,0,100,-19.570000,0.289
68,0,100,-18.715000,0.329
69,0,100,-19.690000,0.268
70,0,100,-19.385000,0.271
71,0,100,-20.000000,0.248
72,0,100,-19.875000,0.308
73,0,100,-19.250000,0.268
74,0,100,-19.970000,0.246
75,0,100,-19.955000,0.296
76,0,100,-20.000000,0.264
77,0,100,-19.590000,0.270
78,0,100,-20.000000,0.284
79,0,100,-20.000000,0.277
80,0,100,-20.000000,0.285
81,0,100,-19.830000,0.267
82,0,100,-20.000000,0.247
83,0,100,-20.000000,0.303
84,0,100,-19.080000,0.301
85,0,100,-19.890000,0.267
86,0,100,-20.000000,0.262
87,0,100,-20.000000,0.276
88,0,100,-20.000000,0.280
89,0,100,-20.000000,0.300
90,0,100,-20.000000,0.275
91,0,100,-20.000000,0.276
92,1,21,5.965000,0.068
93,0,100,-19.920000,0.319
94,0,100,-20.000000,0.286
95,0,100,-18.440000,0.269
96,0,100,-19.490000,0.271
97,0,100,-20.000000,0.308
98,0,100,-19.650000,0.265
99,0,100,-19.860000,0.265
100,0,100,-20.000000,0.259
