episode,success,steps,episode_reward,time_sec
1,1,62,-2.380000,0.169
2,1,57,-1.345000,0.147
3,1,47,0.725000,0.120
4,1,46,0.940000,0.123
5,0,100,-20.000000,0.269
6,1,56,-1.170000,0.146
7,1,21,5.880000,0.057
8,1,63,-2.565000,0.168
9,1,66,-3.170000,0.178
10,1,59,-1.770000,0.154
11,1,48,0.450000,0.125
12,1,75,-4.980000,0.196
13,1,51,-0.170000,0.134
14,0,100,-19.120000,0.256
15,1,79,-5.780000,0.208
16,1,45,1.020000,0.121
17,1,82,-6.380000,0.218
18,0,100,-19.890000,0.262
19,1,29,4.395000,0.080
20,1,18,6.595000,0.050
21,1,73,-4.550000,0.195
22,0,100,-20.000000,0.262
23,1,43,1.430000,0.118
24,1,48,0.795000,0.125
25,1,26,4.910000,0.070
26,1,73,-4.580000,0.188
27,1,47,1.055000,0.125
28,1,9,8.240000,0.028
29,1,57,-1.380000,0.152
30,1,55,-0.950000,0.142
31,1,70,-3.945000,0.187
32,0,100,-20.000000,0.271
33,1,47,0.635000,0.125
34,1,7,8.645000,0.021
35,0,100,-19.970000,0.261
36,1,5,9.055000,0.017
37,1,70,-3.965000,0.255
38,1,91,-8.180000,0.333
39,0,100,-19.720000,0.260
40,0,100,-19.995000,0.264
41,1,13,7.545000,0.037
42,0,100,-20.000000,0.259
43,1,59,-1.770000,0.151
44,0,100,-20.000000,0.257
45,1,66,-3.130000,0.175
46,1,51,-0.090000,0.134
47,0,100,-19.455000,0.261
48,1,18,6.470000,0.051
49,1,32,3.630000,0.083
50,1,35,3.100000,0.093
51,1,74,-4.735000,0.191
52,1,35,3.055000,0.095
53,1,49,0.230000,0.128
54,0,100,-19.980000,0.261
55,1,29,4.245000,0.078
56,0,100,-20.000000,0.254
57,1,83,-6.545000,0.220
58,1,26,4.855000,0.069
59,1,27,4.715000,0.068
60,1,13,7.420000,0.039
61,1,83,-6.560000,0.218
62,1,50,0.240000,0.133
63,1,14,7.220000,0.039
64,1,34,3.280000,0.089
65,0,100,-19.140000,0.257
66,1,94,-8.780000,0.248
67,1,15,7.030000,0.044
68,1,92,-8.365000,0.244
69,1,14,7.270000,0.040
70,0,100,-19.900000,0.255
71,1,22,5.660000,0.061
72,1,74,-4.750000,0.195
73,0,100,-19.420000,0.259
74,1,24,5.280000,0.070
75,0,100,-20.000000,0.259
76,0,100,-20.000000,0.261
77,0,100,-19.440000,0.257
78,1,19,6.240000,0.052
79,1,52,0.085000,0.138
80,1,30,4.150000,0.083
81,0,100,-19.980000,0.262
82,1,90,-7.945000,0.239
83,1,24,5.230000,0.065
84,1,68,-3.570000,0.202
85,0,100,-20.000000,0.255
86,1,62,-2.380000,0.165
87,1,45,1.020000,0.119
88,1,92,-8.380000,0.245
89,1,29,4.265000,0.080
90,1,43,1.725000,0.111
91,1,62,-2.340000,0.165
92,1,63,-2.580000,0.172
93,1,37,2.620000,0.110
94,1,56,-1.180000,0.149
95,1,19,6.305000,0.050
96,1,65,-2.975000,0.173
97,1,47,0.630000,0.129
98,1,55,-0.695000,0.141
99,1,45,1.030000,0.122
100,1,27,4.630000,0.075
