episode,success,steps,episode_reward,time_sec
1,1,49,0.335000,0.149
2,0,100,-19.420000,0.273
3,0,100,-20.000000,0.270
4,0,100,-19.690000,0.268
5,0,100,-19.835000,0.266
6,0,100,-19.820000,0.274
7,0,100,-19.880000,0.252
8,0,100,-19.610000,0.273
9,0,100,-19.635000,0.255
10,0,100,-19.830000,0.281
11,0,100,-19.685000,0.264
12,0,100,-20.000000,0.245
13,0,100,-19.920000,0.260
14,1,93,-8.380000,0.422
15,0,100,-19.775000,0.283
16,0,100,-19.960000,0.273
17,0,100,-19.710000,0.260
18,0,100,-20.000000,0.272
19,1,75,-4.455000,0.205
20,0,100,-19.630000,0.279
21,0,100,-19.800000,0.256
22,0,100,-19.670000,0.262
23,0,100,-19.960000,0.292
24,0,100,-19.435000,0.265
25,1,27,4.835000,0.075
26,0,100,-19.950000,0.255
27,1,71,-3.760000,0.197
28,0,100,-19.995000,0.268
29,0,100,-20.000000,0.265
30,0,100,-19.825000,0.312
31,0,100,-20.000000,0.270
32,0,100,-19.990000,0.250
33,0,100,-19.380000,0.265
34,0,100,-19.990000,0.251
35,0,100,-20.000000,0.258
36,0,100,-20.000000,0.267
37,0,100,-19.820000,0.291
38,0,100,-19.980000,0.254
39,0,100,-19.820000,0.261
40,0,100,-19.800000,0.261
41,1,11,7.965000,0.033
42,1,33,3.560000,0.108
43,0,100,-19.685000,0.293
44,0,100,-19.980000,0.273
45,1,19,6.255000,0.059
46,0,100,-19.840000,0.307
47,1,54,-0.625000,0.174
48,0,100,-19.960000,0.264
49,0,100,-19.910000,0.311
50,1,41,1.920000,0.115
51,0,100,-19.975000,0.274
52,0,100,-20.000000,0.255
53,0,100,-19.610000,0.312
54,1,7,8.630000,0.023
55,0,100,-19.695000,0.263
56,0,100,-19.865000,0.278
57,0,100,-19.670000,0.273
58,0,100,-19.905000,0.250
59,0,100,-20.000000,0.269
60,0,100,-20.000000,0.263
61,0,100,-19.280000,0.285
62,0,100,-19.780000,0.265
63,1,62,-1.980000,0.190
64,0,100,-19.950000,0.252
65,0,100,-19.920000,0.270
66,0,100,-19.920000,0.256
67,0,100,-19.980000,0.278
68,0,100,-19.630000,0.300
69,1,56,-1.130000,0.171
70,0,100,-19.880000,0.267
71,0,100,-20.000000,0.272
72,0,100,-20.000000,0.269
73,0,100,-19.700000,0.266
74,1,34,3.375000,0.103
75,0,100,-9.920000,0.286
76,0,100,-20.000000,0.246
77,0,100,-19.905000,0.261
78,0,100,-19.925000,0.297
79,1,5,9.030000,0.017
80,0,100,-19.895000,0.268
81,0,100,-19.820000,0.266
82,0,100,-19.965000,0.263
83,0,100,-19.630000,0.260
84,1,51,-0.135000,0.145
85,0,100,-20.000000,0.243
86,1,77,-5.180000,0.223
87,0,100,-20.000000,0.258
88,0,100,-19.810000,0.277
89,1,66,-2.890000,0.197
90,0,100,-19.905000,0.286
91,0,100,-19.800000,0.271
92,0,100,-19.860000,0.264
93,0,100,-19.850000,0.268
94,0,100,-19.915000,0.279
95,0,100,-19.960000,0.257
96,0,100,-19.610000,0.284
97,1,79,-5.545000,0.227
98,0,100,-19.965000,0.267
99,0,100,-19.930000,0.268
100,0,100,-19.940000,0.301
