episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.255
2,0,100,-20.000000,0.251
3,0,100,-20.000000,0.251
4,0,100,-19.400000,0.279
5,0,100,-20.000000,0.239
6,0,100,-19.810000,0.261
7,0,100,-20.000000,0.238
8,0,100,-19.930000,0.243
9,0,100,-20.000000,0.238
10,0,100,-20.000000,0.283
11,0,100,-19.675000,0.269
12,0,100,-19.860000,0.258
13,0,100,-19.950000,0.244
14,0,100,-20.000000,0.247
15,0,100,-19.600000,0.262
16,0,100,-19.530000,0.259
17,0,100,-18.890000,0.253
18,0,100,-19.790000,0.255
19,0,100,-20.000000,0.240
20,0,100,-19.880000,0.270
21,0,100,-19.665000,0.271
22,0,100,-20.000000,0.261
23,0,100,-20.000000,0.243
24,0,100,-19.830000,0.263
25,0,100,-20.000000,1.068
26,0,100,-19.590000,0.324
27,0,100,-19.990000,0.240
28,0,100,-20.000000,0.249
29,0,100,-20.000000,0.259
30,0,100,-20.000000,0.257
31,0,100,-20.000000,0.248
32,0,100,-19.970000,0.241
33,0,100,-20.000000,0.253
34,0,100,-19.900000,0.274
35,0,100,-19.930000,0.259
36,0,100,-19.825000,0.246
37,0,100,-19.900000,0.249
38,0,100,-20.000000,0.262
39,0,100,-19.900000,0.272
40,0,100,-19.770000,0.254
41,0,100,-19.920000,0.243
42,0,100,-20.000000,0.260
43,0,100,-20.000000,0.254
44,0,100,-19.810000,0.266
45,0,100,-19.785000,0.260
46,0,100,-19.935000,0.269
47,0,100,-19.980000,0.250
48,0,100,-19.845000,0.252
49,0,100,-20.000000,0.243
50,0,100,-19.760000,0.270
51,0,100,-19.875000,0.248
52,0,100,-19.925000,0.244
53,0,100,-19.820000,0.255
54,0,100,-19.720000,0.252
55,0,100,-19.640000,0.247
56,0,100,-19.860000,0.247
57,0,100,-19.720000,0.269
58,0,100,-19.530000,0.265
59,0,100,-19.980000,0.249
60,0,100,-19.590000,0.259
61,0,100,-19.680000,0.266
62,0,100,-20.000000,0.260
63,0,100,-20.000000,0.253
64,0,100,-19.460000,0.284
65,0,100,-20.000000,0.249
66,0,100,-19.840000,0.282
67,1,74,-4.665000,0.200
68,0,100,-19.740000,0.264
69,0,100,-19.645000,0.270
70,0,100,-19.720000,0.259
71,0,100,-20.000000,0.255
72,0,100,-19.835000,0.256
73,0,100,-19.605000,0.256
74,0,100,-19.520000,0.276
75,0,100,-19.850000,0.248
76,0,100,-19.700000,0.288
77,0,100,-20.000000,0.248
78,0,100,-20.000000,0.251
79,0,100,-19.910000,0.263
80,0,100,-19.960000,0.264
81,0,100,-19.820000,0.271
82,0,100,-19.570000,0.273
83,0,100,-20.000000,0.254
84,0,100,-20.000000,0.254
85,0,100,-20.000000,0.255
86,0,100,-20.000000,0.240
87,0,100,-19.855000,0.252
88,0,100,-20.000000,0.261
89,0,100,-19.845000,0.259
90,0,100,-20.000000,0.247
91,0,100,-20.000000,0.245
92,0,100,-19.720000,0.256
93,0,100,-19.880000,0.262
94,0,100,-19.960000,0.247
95,0,100,-19.870000,0.256
96,0,100,-19.700000,0.280
97,0,100,-19.840000,0.262
98,0,100,-19.920000,0.243
99,0,100,-19.700000,0.285
100,0,100,-20.000000,0.239
