episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.271
2,0,100,-20.000000,0.281
3,0,100,-20.000000,0.278
4,0,100,-19.660000,0.297
5,0,100,-20.000000,0.264
6,0,100,-19.980000,0.274
7,0,100,-19.820000,0.272
8,0,100,-19.700000,0.291
9,0,100,-19.810000,0.274
10,0,100,-20.000000,0.270
11,0,100,-19.635000,0.315
12,0,100,-19.865000,0.278
13,0,100,-19.810000,0.287
14,0,100,-20.000000,0.278
15,0,100,-20.000000,0.271
16,0,100,-19.810000,0.266
17,0,100,-19.550000,0.267
18,0,100,-19.305000,0.305
19,0,100,-19.940000,0.266
20,0,100,-19.930000,0.266
21,0,100,-19.565000,0.282
22,0,100,-20.000000,0.261
23,0,100,-19.810000,0.283
24,0,100,-19.920000,0.305
25,0,100,-19.980000,0.267
26,0,100,-19.660000,0.322
27,0,100,-20.000000,0.261
28,0,100,-20.000000,0.286
29,0,100,-20.000000,0.283
30,0,100,-19.920000,0.268
31,0,100,-20.000000,0.266
32,0,100,-19.965000,0.284
33,0,100,-20.000000,0.269
34,0,100,-19.630000,0.322
35,0,100,-19.890000,0.276
36,1,40,2.165000,0.119
37,0,100,-19.700000,0.295
38,0,100,-19.375000,0.295
39,0,100,-19.700000,0.294
40,1,72,-4.170000,0.212
41,0,100,-20.000000,0.283
42,0,100,-20.000000,0.275
43,0,100,-20.000000,0.293
44,0,100,-19.810000,0.320
45,0,100,-19.805000,0.315
46,0,100,-19.950000,0.261
47,0,100,-19.990000,0.252
48,0,100,-19.870000,0.289
49,0,100,-19.950000,0.258
50,0,100,-19.950000,0.284
51,0,100,-19.975000,0.266
52,0,100,-19.755000,0.309
53,0,100,-20.000000,0.265
54,0,100,-20.000000,0.260
55,0,100,-20.000000,0.275
56,0,100,-19.920000,0.294
57,0,100,-19.770000,0.297
58,0,100,-19.560000,0.311
59,0,100,-19.900000,0.286
60,0,100,-19.800000,0.266
61,0,100,-19.855000,0.287
62,0,100,-20.000000,0.262
63,0,100,-20.000000,0.288
64,0,100,-19.710000,0.271
65,0,100,-19.970000,0.292
66,0,100,-19.830000,0.285
67,0,100,-19.920000,0.257
68,0,100,-19.960000,0.291
69,0,100,-19.810000,0.281
70,0,100,-19.630000,0.273
71,0,100,-20.000000,0.265
72,0,100,-19.985000,0.288
73,0,100,-19.940000,0.293
74,0,100,-19.720000,0.272
75,0,100,-19.910000,0.270
76,0,100,-20.000000,0.277
77,0,100,-19.980000,0.270
78,0,100,-19.960000,0.292
79,0,100,-19.910000,0.277
80,0,100,-20.000000,0.285
81,0,100,-19.705000,0.302
82,0,100,-20.000000,0.266
83,0,100,-20.000000,0.258
84,0,100,-19.930000,0.277
85,0,100,-19.890000,0.271
86,0,100,-19.830000,0.286
87,0,100,-19.945000,0.261
88,0,100,-20.000000,0.258
89,0,100,-19.870000,0.280
90,0,100,-19.990000,0.272
91,0,100,-20.000000,0.278
92,0,100,-19.270000,0.280
93,0,100,-19.940000,0.304
94,0,100,-20.000000,0.280
95,0,100,-20.000000,0.270
96,0,100,-19.810000,0.265
97,0,100,-19.860000,0.319
98,0,100,-19.820000,0.266
99,0,100,-19.730000,0.270
100,0,100,-19.840000,0.294
