episode,success,steps,episode_reward,time_sec
1,0,100,-19.710000,0.268
2,0,100,-19.980000,0.272
3,0,100,-20.000000,0.291
4,0,100,-19.920000,0.257
5,0,100,-20.000000,0.279
6,0,100,-20.000000,0.262
7,0,100,-20.000000,0.307
8,0,100,-20.000000,0.266
9,0,100,-19.990000,0.272
10,0,100,-20.000000,0.310
11,0,100,-19.050000,0.278
12,0,100,-20.000000,0.270
13,0,100,-19.990000,0.267
14,0,100,-20.000000,0.286
15,0,100,-20.000000,0.282
16,0,100,-19.130000,0.328
17,0,100,-19.940000,0.305
18,0,100,-20.000000,0.270
19,0,100,-20.000000,0.249
20,0,100,-20.000000,0.254
21,0,100,-19.915000,0.272
22,0,100,-20.000000,0.249
23,0,100,-19.780000,0.274
24,0,100,-20.000000,0.258
25,0,100,-20.000000,0.261
26,0,100,-20.000000,0.312
27,0,100,-20.000000,0.265
28,0,100,-19.235000,0.311
29,0,100,-20.000000,0.249
30,0,100,-20.000000,0.273
31,0,100,-20.000000,0.271
32,0,100,-20.000000,0.264
33,0,100,-20.000000,0.272
34,0,100,-20.000000,0.314
35,0,100,-19.880000,0.269
36,0,100,-18.350000,0.296
37,0,100,-20.000000,0.326
38,0,100,-20.000000,0.246
39,0,100,-19.760000,0.278
40,0,100,-19.780000,0.310
41,0,100,-20.000000,0.260
42,0,100,-20.000000,0.279
43,0,100,-19.930000,0.271
44,0,100,-19.990000,0.275
45,0,100,-18.410000,0.324
46,0,100,-20.000000,0.276
47,0,100,-18.730000,0.264
48,0,100,-20.000000,0.271
49,0,100,-19.690000,0.268
50,0,100,-19.880000,0.279
51,0,100,-19.985000,0.275
52,0,100,-19.715000,0.256
53,0,100,-20.000000,0.274
54,0,100,-20.000000,0.248
55,0,100,-20.000000,0.292
56,0,100,-20.000000,0.289
57,0,100,-19.740000,0.310
58,0,100,-20.000000,0.271
59,0,100,-19.970000,0.312
60,0,100,-19.830000,0.333
61,0,100,-20.000000,0.255
62,0,100,-20.000000,0.280
63,0,100,-20.000000,0.275
64,0,100,-19.360000,0.285
65,0,100,-19.560000,0.312
66,0,100,-19.740000,0.315
67,0,100,-19.850000,0.275
68,0,100,-19.060000,0.329
69,0,100,-20.000000,0.274
70,0,100,-20.000000,0.269
71,0,100,-19.960000,0.268
72,0,100,-19.925000,0.311
73,0,100,-19.685000,0.322
74,0,100,-20.000000,0.256
75,0,100,-20.000000,0.271
76,0,100,-20.000000,0.286
77,0,100,-19.960000,0.263
78,0,100,-20.000000,0.247
79,0,100,-19.990000,0.263
80,0,100,-18.630000,0.861
81,0,100,-19.990000,0.416
82,0,100,-19.615000,0.261
83,0,100,-20.000000,0.260
84,0,100,-19.060000,0.327
85,0,100,-19.950000,0.261
86,0,100,-20.000000,0.267
87,0,100,-19.710000,0.261
88,0,100,-20.000000,0.282
89,0,100,-20.000000,0.269
90,0,100,-20.000000,0.279
91,0,100,-20.000000,0.284
92,0,100,-19.175000,0.311
93,0,100,-19.970000,0.323
94,0,100,-20.000000,0.250
95,0,100,-18.160000,0.270
96,0,100,-20.000000,0.242
97,0,100,-20.000000,0.298
98,0,100,-20.000000,0.270
99,0,100,-20.000000,0.276
100,0,100,-20.000000,0.263
